* name=baseData,structure="I32"
190 162
* name=time,structure="F64"
1.0 1.0
* name=mat_ElQ4g,structure="F64*6",type="mat",index=1
1.0e10 0.3 0.0 0.0 3000.0 0.6
* name=mat_StressBL2g,structure="F64*2",type="mat",index=1
0.0 100.0
* name=coord,structure="I32*1 F64*2",type="coord",index=1
1 1.000000000000e+02 5.000000000000e+01
2 1.000000000000e+02 4.444444000000e+01
3 9.444444000000e+01 5.000000000000e+01
4 9.446590000000e+01 4.429746000000e+01
5 8.888889000000e+01 5.000000000000e+01
6 1.000000000000e+02 3.888889000000e+01
7 9.444928000000e+01 3.890496000000e+01
8 8.881138000000e+01 4.445532000000e+01
9 8.878666000000e+01 3.878585000000e+01
10 8.333333000000e+01 5.000000000000e+01
11 1.000000000000e+02 3.333333000000e+01
12 9.435637000000e+01 3.325473000000e+01
13 8.325725000000e+01 4.429945000000e+01
14 8.873266000000e+01 3.307705000000e+01
15 8.310575000000e+01 3.853945000000e+01
16 7.777778000000e+01 5.000000000000e+01
17 1.000000000000e+02 2.777778000000e+01
18 9.452177000000e+01 2.769847000000e+01
19 7.757856000000e+01 4.433974000000e+01
20 8.301652000000e+01 3.271109000000e+01
21 8.877108000000e+01 2.755652000000e+01
22 7.736257000000e+01 3.836142000000e+01
23 7.222222000000e+01 5.000000000000e+01
24 1.000000000000e+02 2.222222000000e+01
25 9.433658000000e+01 2.218430000000e+01
26 8.296971000000e+01 2.721815000000e+01
27 7.728435000000e+01 3.277670000000e+01
28 7.186177000000e+01 4.442948000000e+01
29 8.875147000000e+01 2.209224000000e+01
30 7.168835000000e+01 3.855327000000e+01
31 7.720277000000e+01 2.721600000000e+01
32 8.303861000000e+01 2.198787000000e+01
33 7.155553000000e+01 3.281828000000e+01
34 6.666667000000e+01 5.000000000000e+01
35 1.000000000000e+02 1.666667000000e+01
36 9.434552000000e+01 1.663898000000e+01
37 6.625701000000e+01 4.447557000000e+01
38 8.885962000000e+01 1.664028000000e+01
39 6.607465000000e+01 3.873440000000e+01
40 7.726936000000e+01 2.185366000000e+01
41 7.156289000000e+01 2.723083000000e+01
42 8.323555000000e+01 1.664375000000e+01
43 6.596178000000e+01 3.292763000000e+01
44 6.111111000000e+01 5.000000000000e+01
45 1.000000000000e+02 1.111111000000e+01
46 9.445740000000e+01 1.094236000000e+01
47 6.056948000000e+01 4.458717000000e+01
48 7.162487000000e+01 2.162768000000e+01
49 7.755163000000e+01 1.634132000000e+01
50 8.899467000000e+01 1.101546000000e+01
51 6.600865000000e+01 2.739720000000e+01
52 6.039148000000e+01 3.898112000000e+01
53 8.337566000000e+01 1.107369000000e+01
54 6.027371000000e+01 3.329976000000e+01
55 7.203513000000e+01 1.610980000000e+01
56 6.616204000000e+01 2.166511000000e+01
57 5.555556000000e+01 5.000000000000e+01
58 1.000000000000e+02 5.555556000000e+00
59 9.450351000000e+01 5.498189000000e+00
60 7.780273000000e+01 1.068590000000e+01
61 5.501518000000e+01 4.459702000000e+01
62 6.034791000000e+01 2.776523000000e+01
63 8.911220000000e+01 5.494841000000e+00
64 5.475469000000e+01 3.907020000000e+01
65 8.343336000000e+01 5.466703000000e+00
66 6.650468000000e+01 1.609107000000e+01
67 7.229843000000e+01 1.054847000000e+01
68 5.468311000000e+01 3.353871000000e+01
69 6.048928000000e+01 2.184966000000e+01
70 7.791224000000e+01 5.298277000000e+00
71 5.000000000000e+01 5.000000000000e+01
72 1.000000000000e+02 0.000000000000e+00
73 9.444444000000e+01 0.000000000000e+00
74 5.463304000000e+01 2.788896000000e+01
75 4.950548000000e+01 4.450627000000e+01
76 8.888889000000e+01 0.000000000000e+00
77 6.672452000000e+01 1.059244000000e+01
78 6.090923000000e+01 1.608378000000e+01
79 4.921843000000e+01 3.917762000000e+01
80 7.241985000000e+01 5.232099000000e+00
81 8.333333000000e+01 0.000000000000e+00
82 5.464997000000e+01 2.186510000000e+01
83 4.913132000000e+01 3.365710000000e+01
84 7.777778000000e+01 0.000000000000e+00
85 6.108105000000e+01 1.061009000000e+01
86 4.444444000000e+01 5.000000000000e+01
87 4.900580000000e+01 2.788006000000e+01
88 6.682386000000e+01 5.236345000000e+00
89 4.405208000000e+01 4.446628000000e+01
90 5.503584000000e+01 1.607387000000e+01
91 7.222222000000e+01 0.000000000000e+00
92 4.383154000000e+01 3.918991000000e+01
93 4.908209000000e+01 2.191240000000e+01
94 4.369167000000e+01 3.373938000000e+01
95 6.129661000000e+01 5.207701000000e+00
96 5.539383000000e+01 1.055645000000e+01
97 6.666667000000e+01 0.000000000000e+00
98 4.365502000000e+01 2.790912000000e+01
99 4.939613000000e+01 1.613548000000e+01
100 3.888889000000e+01 5.000000000000e+01
101 3.848852000000e+01 4.456197000000e+01
102 3.835888000000e+01 3.917548000000e+01
103 4.374709000000e+01 2.199090000000e+01
104 5.559385000000e+01 5.184057000000e+00
105 6.111111000000e+01 0.000000000000e+00
106 3.826660000000e+01 3.370557000000e+01
107 4.967451000000e+01 1.047401000000e+01
108 3.834727000000e+01 2.804454000000e+01
109 4.394069000000e+01 1.620035000000e+01
110 3.333333000000e+01 5.000000000000e+01
111 5.555556000000e+01 0.000000000000e+00
112 5.003632000000e+01 5.113865000000e+00
113 3.295998000000e+01 4.465511000000e+01
114 3.845917000000e+01 2.206043000000e+01
115 3.284886000000e+01 3.924445000000e+01
116 4.407754000000e+01 1.043557000000e+01
117 3.291719000000e+01 3.364498000000e+01
118 3.854202000000e+01 1.623944000000e+01
119 3.296459000000e+01 2.808454000000e+01
120 5.000000000000e+01 0.000000000000e+00
