* name=baseData,structure="I32"
9 8
* name=time,structure="F64"
1.0 1.0
* name=mat_ElT3,structure="F64**5",type="mat",index=0
1000000.0 0.3 1.0 0.0 0.0
* name=coord,structure="I32*1 F64*2",type="coord",index=1
1 0.0 0.0
2 0.5 0.0
3 1.0 0.0
4 0.0 0.5
5 0.5 0.5
6 1.0 0.5
7 0.0 1.0
8 0.5 1.0
9 1.0 1.0
* name=ubfElastic2DDisp,structure="I32*1 F64*2",type="ubf",index=0
1 0.0 0.0
2 0.0005 0.0
3 0.001 0.0
4 0.0 -0.00015
6 0.001 -0.00015
7 0.0 -0.0003
8 0.0005 -0.0003
9 0.001 -0.0003
* name=ElT3,structure="I32*5",type="elem",index=1
1 1 2 5 1
2 1 5 4 1
3 2 3 6 1
4 2 6 5 1
5 4 5 8 1
6 4 8 7 1
7 5 6 9 1
8 5 9 8 1
