* name=baseData,structure="I32"
16 18
* name=time,structure="F64"
1.0 1.0
* name=mat_ElT3,structure="F64**5",type="mat",index=0
1000000.0 0.3 1.0 0.0 0.0
* name=coord,structure="I32*1 F64*2",type="coord",index=1
1 0.0 0.0
2 0.3333333333333 0.0
3 0.6666666666667 0.0
4 1.0 0.0
5 0.0 0.3333333333333
6 0.3333333333333 0.3333333333333
7 0.6666666666667 0.3333333333333
8 1.0 0.3333333333333
9 0.0 0.6666666666667
10 0.3333333333333 0.6666666666667
11 0.6666666666667 0.6666666666667
12 1.0 0.6666666666667
13 0.0 1.0
14 0.3333333333333 1.0
15 0.6666666666667 1.0
16 1.0 1.0
* name=ubfElastic2DDisp,structure="I32*1 F64*2",type="ubf",index=0
1 0.0 0.0
2 0.0003333333333333 0.0
3 0.0006666666666667 0.0
4 0.001 0.0
5 0.0 -0.0001
8 0.001 -0.0001
9 0.0 -0.0002
12 0.001 -0.0002
13 0.0 -0.0003
14 0.0003333333333333 -0.0003
15 0.0006666666666667 -0.0003
16 0.001 -0.0003
* name=ElT3,structure="I32*5",type="elem",index=1
1 1 2 6 1
2 1 6 5 1
3 2 3 7 1
4 2 7 6 1
5 3 4 8 1
6 3 8 7 1
7 5 6 10 1
8 5 10 9 1
9 6 7 11 1
10 6 11 10 1
11 7 8 12 1
12 7 12 11 1
13 9 10 14 1
14 9 14 13 1
15 10 11 15 1
16 10 15 14 1
17 11 12 16 1
18 11 16 15 1
